,Address,Beds_Min,Beds_Max,Baths_Min,Baths_Max,Sqft_Min,Sqft_Max,Lat,Lon,Distance,Rent,Rent_max,Neighborhood,City,Walk Score,Transit Score,Bike Score,Population
166,1456 Clermont St,3,3,2.0,2.0,N/A,N/A,39.739363,-104.934664,2.501769127661502,2595,2595,Bellevue,,,,,
167,351 S Jackson St,0,2,1.0,2.5,595,1680,39.709791,-104.942912,2.5018606030880246,1476,4154,Belcaro,Belcaro,64.0,42.0,84.0,4215.0
168,1860 N Washington St Apt 410,2,2,2.0,2.0,N/A,N/A,39.745621,-104.978431,2.5117964637956014,2400,2400,North Capitol Hill,,,,,
169,1515 E 22nd Ave,3,3,1.0,1.0,1800,1800,39.74955,-104.969137,2.515167681065369,2100,2100,City Park West,City Park West,85.0,55.0,95.0,4854.0
170,1511 E 22nd Avenue 22nd Ave,3,3,1.0,1.0,1800,1800,39.74955,-104.969226,2.517554747869736,2100,2100,City Park West,City Park West,85.0,55.0,95.0,4854.0
171,350 S Jackson St,0,2,1.0,2.0,601,1334,39.70967,-104.94196,2.560936030861087,1396,2307,Belcaro,Belcaro,64.0,42.0,84.0,4215.0
172,2111 N Downing St Apt B,2,2,1.0,1.0,800,800,39.748531,-104.973732,2.563005984613565,1750,1750,Five Points,Five Points,90.0,73.0,97.0,12709.0
173,755 E 19th Ave,1,2,1.0,2.0,640,1292,39.74688,-104.97847,2.6241316819772544,1625,2717,North Capitol Hill,,,,,
174,4561 Batavia Pl,3,3,2.0,2.0,N/A,N/A,39.742789,-104.933961,2.761365979281448,2600,2600,South Park Hill,,,,,
175,775 S York St Unit D,1,1,1.0,1.0,N/A,N/A,39.702467,-104.960872,2.8486732980365184,845,845,Washington Park,Washington Park,59.0,43.0,79.0,6915.0
176,920 E 24th Ave,3,3,4.0,4.0,2000,2000,39.751794,-104.975088,2.939321229967873,3495,3495,Five Points,Five Points,90.0,73.0,97.0,12709.0
177,2529 Tremont Pl,3,3,4.0,4.0,N/A,N/A,39.752198,-104.978367,3.11181729068115,4250,4250,Five Points,Five Points,90.0,73.0,97.0,12709.0
178,2502 N Clarkson St,4,4,3.0,3.0,N/A,N/A,39.753389,-104.976687,3.159136818916411,3980,3980,Five Points,Five Points,90.0,73.0,97.0,12709.0
179,407 29th St,3,3,1.0,1.0,N/A,N/A,39.7557,-104.973996,3.2997543450349753,1895,1895,Five Points,Five Points,90.0,73.0,97.0,12709.0
180,437 29th St,1,1,1.0,1.0,N/A,N/A,39.755858,-104.974333,3.326675002239395,1225,1225,Five Points,Five Points,90.0,73.0,97.0,12709.0
181,442 29th St,2,2,1.0,1.0,N/A,N/A,39.755797,-104.974746,3.333614402102135,1375,1375,Five Points,Five Points,90.0,73.0,97.0,12709.0
182,453 29th St,1,1,1.0,1.0,N/A,N/A,39.755988,-104.974499,3.3453674669156603,1235,1235,Five Points,Five Points,90.0,73.0,97.0,12709.0
183,4550 Cherry Creek Dr S,1,3,1.0,3.0,851,1947,39.70374,-104.93456,3.4704319924704965,1534,3630,Glendale,,,,,
184,650 S Dahlia Cir,1,3,1.0,2.0,739,1249,39.705704,-104.930638,3.5327149498460115,1395,2210,Glendale,,,,,
185,5100 Leetsdale Dr,1,1,1.0,1.0,625,625,39.707405,-104.927699,3.591538673942096,1037,1037,Atrii,,,,,
186,801 S Cherry St,1,3,1.0,2.0,572,1371,39.70171,-104.93454,3.650270076459822,1482,2898,Glendale,,,,,
187,4750 E Cherry Creek South Dr,1,3,1.0,2.0,687,1429,39.702639,-104.932119,3.697703607686859,1300,2585,Washington Virginia Vale,Washington Virginia Vale,67.0,44.0,77.0,12838.0
188,818-848 S Dexter St,1,2,1.0,2.0,580,985,39.70179,-104.93229,3.7612132009595705,1145,1460,Washington Virginia Vale,Washington Virginia Vale,67.0,44.0,77.0,12838.0
189,601 S Forest St,0,2,1.0,1.0,290,845,39.704907,-104.927675,3.776925316766345,1020,1415,Glendale,,,,,
190,2920 Albion St,2,2,2.0,2.0,N/A,N/A,39.758776,-104.939122,3.8524853620006,2400,2400,Park Hill Heights,,,,,
191,878 S Dexter St,0,2,1.0,2.0,500,1080,39.70056,-104.93238,3.8637964856496616,1007,1041,Washington Virginia Vale,Washington Virginia Vale,67.0,44.0,77.0,12838.0
192,911 S Dahlia St,2,2,1.0,1.0,780,780,39.699494,-104.932073,3.9740787138806546,1300,1300,Glendale,,,,,
193,3331 N Race St,2,2,1.5,1.5,950,950,39.763875,-104.963555,3.994682491070083,2195,2195,Cole,Cole,82.0,54.0,92.0,4646.0
194,980 S Dexter St Apt 10,1,1,1.0,1.0,N/A,N/A,39.698658,-104.932014,4.051816349916707,1115,1115,Glendale,,,,,
195,980 S Dexter St Apt 17,0,0,1.0,1.0,N/A,N/A,39.698658,-104.932014,4.051816349916707,995,995,Glendale,,,,,
196,980 S Dexter St Apt 24,0,0,1.0,1.0,N/A,N/A,39.698658,-104.932014,4.051816349916707,995,995,Glendale,,,,,
